PLAYER,EST. BASE SALARY (EUR GROSS P/W),EST. BASE SALARY (GROSS P/Y),EST. BONUS (EUR GROSS P/Y),CONTRACT SIGNED,CONTRACT EXPIRATION,YEARS REMAINING,GROSS REMAINING,RELEASE CLAUSE,STATUS,POS.,POS.,AGE,COUNTRY,CLUB
Frenkie de Jong,721154,37500000,20210000,"Oct 20, 2020","Jun 30, 2026",3,112500000,400000000,Starter,M,CM,26,Netherlands,Barcelona
Robert Lewandowski,520769,27080000,,"Jul 19, 2022","Jun 30, 2026",3,81240000,500000000,Starter,F,CF,35,Poland,Barcelona
Toni Kroos,468846,24380000,,"Jun 21, 2023","Jun 30, 2024",1,24380000,500000000,Starter,M,CM,34,Germany,Real Madrid
David Alaba,432692,22500000,,"Jul 1, 2021","Jun 30, 2026",3,67500000,850000000,Reserve,D,CB,31,Austria,Real Madrid
Luka Modric,420769,21880000,,"Jun 26, 2023","Jun 30, 2024",1,21880000,750000000,Reserve,M,CM,38,Croatia,Real Madrid
Jude Bellingham,400577,20830000,4170000,"Jul 1, 2023","Jun 30, 2029",6,124980000,1000000000,Starter,F,AM,20,England,Real Madrid
Jan Oblak,400577,20830000,,"Jul 20, 2022","Jun 30, 2028",5,104150000,,Starter,K,GK,31,Slovenia,Atletico Madrid
Vinicius Junior,400577,20830000,4170000,"Oct 31, 2023","Jun 30, 2027",4,83320000,1000000000,Starter,F,LW,23,Brazil,Real Madrid
?lkay Gündo?an,360577,18750000,,"Jul 1, 2023","Jun 30, 2025",2,37500000,400000000,Starter,M,CM,33,Germany,Barcelona
Federico Valverde,320577,16670000,,"Nov 9, 2023","Jun 30, 2029",6,100020000,1000000000,Starter,M,CM,25,Uruguay,Real Madrid
Thibaut Courtois,288462,15000000,,"Aug 16, 2021","Jun 30, 2026",3,45000000,700000000,Starter,K,GK,31,Belgium,Real Madrid
Éder Militão,280385,14580000,,"Jan 23, 2024","Jun 30, 2028",5,72900000,1000000000,Reserve,D,CB,26,Brazil,Real Madrid
Antonio Rüdiger,280385,14580000,4170000,"Jul 1, 2022","Jun 30, 2026",3,43740000,400000000,Reserve,D,CB,30,Germany,Real Madrid
Jules Koundé,260577,13550000,,"Jul 28, 2022","Jun 30, 2027",4,54200000,1000000000,Starter,D,CB,25,France,Barcelona
Álvaro Morata,260385,13540000,,"Jul 1, 2020","Jun 30, 2026",3,40620000,21000000,Starter,F,CF,31,Spain,Atletico Madrid
João Cancelo,240385,12500000,,"Sep 1, 2023","Jun 30, 2024",1,12500000,,Starter,D,RB,29,Portugal,Barcelona
Aurélien Tchouaméni,240385,12500000,,"Jul 1, 2022","Jun 30, 2028",5,62500000,1000000000,Starter,M,DM,24,France,Real Madrid
Antoine Griezmann,240385,12500000,,"Jul 1, 2023","Jun 30, 2026",3,37500000,,Starter,F,CF,32,France,Atletico Madrid
Eduardo Camavinga,240385,12500000,,"Nov 7, 2023","Jun 30, 2029",6,75000000,1000000000,Starter,M,CM,21,France,Real Madrid
Raphinha,240385,12500000,,"Jul 13, 2022","Jun 30, 2027",4,50000000,1000000000,Reserve,F,RW,27,Brazil,Barcelona
Rodrygo,240385,12500000,,"Nov 2, 2023","Jun 30, 2028",5,62500000,1000000000,Starter,F,RW,23,Brazil,Real Madrid
Saúl Ñíguez,230769,12000000,,"Jul 1, 2020","Jun 30, 2026",3,36000000,,Reserve,M,CM,29,Spain,Atletico Madrid
Iñaki Williams,219231,11400000,,"Aug 12, 2019","Jun 30, 2028",5,57000000,135000000,Starter,F,RW,29,Ghana,Athletic Club
Nico Williams,200385,10420000,,"Dec 1, 2023","Jun 30, 2027",4,41680000,55000000,Starter,F,LW,21,Spain,Athletic Club
Dani Ceballos,200385,10420000,,"Jun 23, 2023","Jun 30, 2027",4,41680000,,Reserve,M,CM,27,Spain,Real Madrid
Daniel Carvajal,200385,10420000,,"Jul 29, 2021","Jun 30, 2025",2,20840000,350000000,Starter,D,RB,32,Spain,Real Madrid
Ferland Mendy,200385,10420000,,"Jul 1, 2019","Jun 30, 2025",2,20840000,,Starter,D,LB,28,France,Real Madrid
Ferran Torres,192308,10000000,3000000,"Jan 1, 2022","Jun 30, 2027",4,40000000,1000000000,Reserve,F,LW,23,Spain,Barcelona
Pedri,180385,9380000,,"Oct 14, 2021","Jun 30, 2026",3,28140000,1000000000,Starter,M,CM,21,Spain,Barcelona
Lucas Vázquez,180385,9380000,,"Jun 3, 2021","Jun 30, 2024",1,9380000,150000000,Starter,D,RB,32,Spain,Real Madrid
Iñigo Martínez,180385,9380000,,"Jul 5, 2023","Jun 30, 2025",2,18760000,400000000,Starter,D,CB,32,Spain,Barcelona
